set_key,property,product,type,product_fee,min_ltv,max_ltv,rate,min_term,max_term,min_rolled_months,max_rolled_months,min_loan,max_loan,min_icr,max_defer_int
Bridging,Commercial,"Permitted & Light Development Finance",Fixed,2,60,70,0.9,3,18,3,18,100000,20000000,,
Bridging,Commercial,"Permitted & Light Development Finance",Fixed,2,70,75,1,3,18,3,18,100000,20000000,,
Bridging,Commercial,"Permitted & Light Development Finance",Variable,2,0,60,0.45,3,18,3,18,100000,20000000,,
Bridging,Commercial,"Permitted & Light Development Finance",Variable,2,60,70,0.55,3,18,3,18,100000,20000000,,
Bridging,Commercial,"Permitted & Light Development Finance",Variable,2,70,75,0.65,3,18,3,18,100000,20000000,,
Bridging,Commercial,"Developer Exit Bridge (Multiple Units)",Fixed,2,0,60,0.8,3,18,3,18,100000,50000000,,
Bridging,Commercial,"Developer Exit Bridge (Multiple Units)",Fixed,2,60,70,0.9,3,18,3,18,100000,50000000,,
Bridging,Commercial,"Developer Exit Bridge (Multiple Units)",Fixed,2,70,75,1,3,18,3,18,100000,50000000,,
Bridging,Commercial,"Developer Exit Bridge (Multiple Units)",Variable,2,0,60,0.45,3,18,3,18,100000,50000000,,
Bridging,Commercial,"Developer Exit Bridge (Multiple Units)",Variable,2,60,70,0.55,3,18,3,18,100000,50000000,,
Bridging,Commercial,"Developer Exit Bridge (Multiple Units)",Variable,2,70,75,0.65,3,18,3,18,100000,50000000,,
Bridging,Commercial,"Commercial Large Loan",Fixed,2,0,60,0.85,3,18,3,18,3000001,15000000,,
Bridging,Commercial,"Commercial Large Loan",Fixed,2,60,70,0.95,3,18,3,18,3000001,15000000,,
Bridging,Commercial,"Commercial Large Loan",Variable,2,70,75,0.7,3,18,3,18,3000001,15000000,,
Bridging,Commercial,"Commercial",Fixed,2,0,60,0.8,3,18,3,18,100000,3000000,,
Bridging,Commercial,"Commercial",Fixed,2,60,70,0.9,3,18,3,18,100000,3000000,,
Bridging,Commercial,"Commercial",Fixed,2,70,75,1,3,18,3,18,100000,3000000,,
Bridging,Commercial,"Commercial",Variable,2,0,60,0.45,3,18,3,18,100000,3000000,,
Bridging,Commercial,"Commercial",Variable,2,60,70,0.55,3,18,3,18,100000,3000000,,
Bridging,Commercial,"Commercial",Variable,2,70,75,0.65,3,18,3,18,100000,3000000,,
Bridging,Commercial,"Commercial Large Loan",Variable,2,0,60,0.5,3,18,3,18,3000001,15000000,,
Bridging,Commercial,"Commercial Large Loan",Variable,2,60,70,0.6,3,18,3,18,3000001,15000000,,
Bridging,Commercial,"Commercial Large Loan",Fixed,2,70,75,1.05,3,18,3,18,3000001,15000000,,
Bridging,Semi-Commercial,"Permitted & Light Development Finance",Fixed,2,0,60,0.8,3,18,3,18,100000,20000000,,
Bridging,Semi-Commercial,"Permitted & Light Development Finance",Fixed,2,60,70,0.9,3,18,3,18,100000,20000000,,
Bridging,Semi-Commercial,"Permitted & Light Development Finance",Fixed,2,70,75,1,3,18,3,18,100000,20000000,,
Bridging,Semi-Commercial,"Permitted & Light Development Finance",Variable,2,0,60,0.45,3,18,3,18,100000,20000000,,
Bridging,Semi-Commercial,"Permitted & Light Development Finance",Variable,2,60,70,0.55,3,18,3,18,100000,20000000,,
Bridging,Semi-Commercial,"Permitted & Light Development Finance",Variable,2,70,75,0.65,3,18,3,18,100000,20000000,,
Bridging,Semi-Commercial,"Developer Exit Bridge (Multiple Units)",Fixed,2,0,60,0.8,3,18,3,18,100000,50000000,,
Bridging,Semi-Commercial,"Developer Exit Bridge (Multiple Units)",Fixed,2,60,70,0.9,3,18,3,18,100000,50000000,,
Bridging,Semi-Commercial,"Developer Exit Bridge (Multiple Units)",Fixed,2,70,75,1,3,18,3,18,100000,50000000,,
Bridging,Semi-Commercial,"Developer Exit Bridge (Multiple Units)",Variable,2,0,60,0.45,3,18,3,18,100000,50000000,,
Bridging,Semi-Commercial,"Developer Exit Bridge (Multiple Units)",Variable,2,60,70,0.55,3,18,3,18,100000,50000000,,
Bridging,Semi-Commercial,"Developer Exit Bridge (Multiple Units)",Variable,2,70,75,0.65,3,18,3,18,100000,50000000,,
Fusion,Residential,Small,Variable,2,0,75,4.79,24,24,6,12,100000,3000000,110,2
Fusion,Residential,Medium,Variable,2,0,75,5.69,24,24,6,12,3000001,10000000,110,2
Fusion,Residential,Large,Variable,2,0,75,5.99,24,24,6,12,10000001,1000000000,110,2
Fusion,Commercial,Small,Variable,2,0,70,4.99,24,24,6,12,100000,3000000,110,2
Fusion,Commercial,Medium,Variable,2,0,70,5.79,24,24,6,12,3000001,10000000,110,2
Fusion,Commercial,Large,Variable,2,0,70,6.29,24,24,6,12,10000001,1000000000,110,2
Fusion,Semi-Commercial,Small,Variable,2,0,70,4.99,24,24,6,12,100000,3000000,110,2
Fusion,Semi-Commercial,Medium,Variable,2,0,70,5.79,24,24,6,12,3000001,10000000,110,2
Fusion,Semi-Commercial,Large,Variable,2,0,70,6.29,24,24,6,12,10000001,1000000000,110,2
